GTFS Stop ID,Station Name,Line,Stop Sequence,Mode,Structure,GTFS Latitude,GTFS Longitude,Density Workday,Density Workday Night,Density Holiday Day,Density Holiday Night,lat,lon,geometry_wkt
LIM-0169,Los Chancas,L6,2,Sub,At Grade,-12.03716,-76.96271,0,0,0,0,-12.03716,-76.96271,POINT (-76.96271 -12.03716)
LIM-0170,Universidad,L6,3,Sub,At Grade,-12.04374,-76.96988,0,0,0,0,-12.04374,-76.96988,POINT (-76.96988 -12.04374)
LIM-0171,Santa Anita,L6,4,Sub,At Grade,-12.05516,-76.96443,0,0,0,0,-12.05516,-76.96443,POINT (-76.96443 -12.05516)
LIM-0172,Parque de los Anillos,L6,5,Sub,At Grade,-12.06979,-76.97252,0,0,0,0,-12.06979,-76.97252,POINT (-76.97252 -12.06979)
LIM-0173,UPC,L6,6,Sub,At Grade,-12.10344,-76.96318,0,0,0,0,-12.10344,-76.96318,POINT (-76.96318 -12.10344)
LIM-0174,Javier Prado,L6,7,Sub,At Grade,-12.08233,-76.97041,0,0,0,0,-12.08233,-76.97041,POINT (-76.97041 -12.08233)
LIM-0175,Derby,L6,8,Sub,At Grade,-12.09657,-76.97351,0,0,0,0,-12.09657,-76.97351,POINT (-76.97351 -12.09657)
LIM-0176,La Encalada,L6,9,Sub,At Grade,-12.10982,-76.97285,0,0,0,0,-12.10982,-76.97285,POINT (-76.97285 -12.10982)
LIM-0177,Panamericana Sur,L6,10,Sub,At Grade,-12.11023,-76.97821,0,0,0,0,-12.11023,-76.97821,POINT (-76.97821 -12.11023)
LIM-0178,Velasco Astete,L6,11,Sub,At Grade,-12.11067,-76.98456,0,0,0,0,-12.11067,-76.98456,POINT (-76.98456 -12.11067)
LIM-0179,Caminos del Inca,L6,12,Sub,At Grade,-12.11125,-76.99375,0,0,0,0,-12.11125,-76.99375,POINT (-76.99375 -12.11125)
LIM-0180,Primavera,L6,13,Sub,At Grade,-12.11171,-77.00051,0,0,0,0,-12.11171,-77.00051,POINT (-77.00051 -12.11171)
LIM-0181,La Calera,L6,14,Sub,At Grade,-12.11241,-77.01049,0,0,0,0,-12.11241,-77.01049,POINT (-77.01049 -12.11241)
LIM-0182,Mercado Surquillo,L6,15,Sub,At Grade,-12.11339,-77.0249,0,0,0,0,-12.11339,-77.0249,POINT (-77.0249 -12.11339)
LIM-0183,Huaca Pucllana,L6,16,Sub,At Grade,-12.11382,-77.02974,0,0,0,0,-12.11382,-77.02974,POINT (-77.02974 -12.11382)
LIM-0184,Comandante Espinar,L6,17,Sub,At Grade,-12.11408,-77.03699,0,0,0,0,-12.11408,-77.03699,POINT (-77.03699 -12.11408)
LIM-0185,Pardo,L6,18,Sub,At Grade,-12.11319,-77.04849,0,0,0,0,-12.11319,-77.04849,POINT (-77.04849 -12.11319)
LIM-0186,Cuartel San Martin,L6,19,Sub,At Grade,-12.10879,-77.05295,0,0,0,0,-12.10879,-77.05295,POINT (-77.05295 -12.10879)
LIM-0187,Ejercito,L6,20,Sub,At Grade,-12.09797,-77.0694,0,0,0,0,-12.09797,-77.0694,POINT (-77.0694 -12.09797)
LIM-0188,Parque Media Luna,L6,21,Sub,At Grade,-12.09214,-77.07989,0,0,0,0,-12.09214,-77.07989,POINT (-77.07989 -12.09214)
LIM-0189,Lima,L6,22,Sub,At Grade,-12.0869,-77.08379,0,0,0,0,-12.0869,-77.08379,POINT (-77.08379 -12.0869)
LIM-0190,Pando,L6,23,Sub,At Grade,-12.07779,-77.08128,0,0,0,0,-12.07779,-77.08128,POINT (-77.08128 -12.07779)
LIM-0191,PUCP,L6,24,Sub,At Grade,-12.06849,-77.07777,0,0,0,0,-12.06849,-77.07777,POINT (-77.07777 -12.06849)
LIM-0192,San Marcos,L6,25,Sub,At Grade,-12.05557,-77.08074,0,0,0,0,-12.05557,-77.08074,POINT (-77.08074 -12.05557)
LIM-0193,Argentina,L6,26,Sub,At Grade,-12.04652,-77.07682,0,0,0,0,-12.04652,-77.07682,POINT (-77.07682 -12.04652)
LIM-0194,Peru,L6,27,Sub,At Grade,-12.03186,-77.07755,0,0,0,0,-12.03186,-77.07755,POINT (-77.07755 -12.03186)
LIM-0195,José Granda,L6,28,Sub,At Grade,-12.02615,-77.07542,0,0,0,0,-12.02615,-77.07542,POINT (-77.07542 -12.02615)
LIM-0196,San German,L6,29,Sub,At Grade,-12.01928,-77.07632,0,0,0,0,-12.01928,-77.07632,POINT (-77.07632 -12.01928)
LIM-0197,Tomas Valle,L6,30,Sub,At Grade,-12.01268,-77.07982,0,0,0,0,-12.01268,-77.07982,POINT (-77.07982 -12.01268)
LIM-0198,Angelica Gamarra,L6,31,Sub,At Grade,-12.00657,-77.0825,0,0,0,0,-12.00657,-77.0825,POINT (-77.0825 -12.00657)
LIM-0199,Santiago Antunez de Mayolo,L6,32,Sub,At Grade,-11.99653,-77.08469,0,0,0,0,-11.99653,-77.08469,POINT (-77.08469 -11.99653)
LIM-0200,Los Olivos,L6,33,Sub,At Grade,-11.98862,-77.08099,0,0,0,0,-11.98862,-77.08099,POINT (-77.08099 -11.98862)
LIM-0201,Los Alisos,L6,34,Sub,At Grade,-11.9838,-77.07219,0,0,0,0,-11.9838,-77.07219,POINT (-77.07219 -11.9838)
LIM-0202,Canta,L6,35,Sub,At Grade,-11.97376,-77.0879,0,0,0,0,-11.97376,-77.0879,POINT (-77.0879 -11.97376)
LIM-0203,Chiquitanta,L6,36,Sub,At Grade,-11.96148,-77.09916,0,0,0,0,-11.96148,-77.09916,POINT (-77.09916 -11.96148)
LIM-0204,200 millas,L7,1,Sub,At Grade,-11.99619,-77.12607,0,0,0,0,-11.99619,-77.12607,POINT (-77.12607 -11.99619)
LIM-0205,Carlos Izaguirre,L7,2,Sub,At Grade,-11.98881,-77.12549,0,0,0,0,-11.98881,-77.12549,POINT (-77.12549 -11.98881)
LIM-0206,Manuel Mujica,L7,3,Sub,At Grade,-11.98215,-77.12518,0,0,0,0,-11.98215,-77.12518,POINT (-77.12518 -11.98215)
LIM-0207,Orquendo,L7,4,Sub,At Grade,-11.97777,-77.12503,0,0,0,0,-11.97777,-77.12503,POINT (-77.12503 -11.97777)
LIM-0208,California,L7,5,Sub,At Grade,-11.97242,-77.12506,0,0,0,0,-11.97242,-77.12506,POINT (-77.12506 -11.97242)
LIM-0209,Los Alisos,L7,6,Sub,At Grade,-11.96409,-77.12679,0,0,0,0,-11.96409,-77.12679,POINT (-77.12679 -11.96409)
LIM-0210,Las Brisas,L7,7,Sub,At Grade,-11.95916,-77.12841,0,0,0,0,-11.95916,-77.12841,POINT (-77.12841 -11.95916)
LIM-0211,Oceanica,L7,8,Sub,At Grade,-11.95168,-77.13096,0,0,0,0,-11.95168,-77.13096,POINT (-77.13096 -11.95168)
LIM-0212,Miramar,L7,9,Sub,At Grade,-11.94406,-77.13144,0,0,0,0,-11.94406,-77.13144,POINT (-77.13144 -11.94406)
LIM-0213,Chillón,L7,10,Sub,At Grade,-11.93612,-77.13077,0,0,0,0,-11.93612,-77.13077,POINT (-77.13077 -11.93612)
LIM-0214,Castillo El Palmo,L7,11,Sub,At Grade,-11.92314,-77.1294,0,0,0,0,-11.92314,-77.1294,POINT (-77.1294 -11.92314)
LIM-0215,Petrolera,L7,12,Sub,At Grade,-11.9089,-77.12868,0,0,0,0,-11.9089,-77.12868,POINT (-77.12868 -11.9089)
LIM-0216,Heroes del Cenepa,L7,13,Sub,At Grade,-11.89528,-77.12663,0,0,0,0,-11.89528,-77.12663,POINT (-77.12663 -11.89528)
LIM-0217,Ventanilla,L7,14,Sub,At Grade,-11.88674,-77.12598,0,0,0,0,-11.88674,-77.12598,POINT (-77.12598 -11.88674)
LIM-0218,Municipalidad,L7,15,Sub,At Grade,-11.87769,-77.12674,0,0,0,0,-11.87769,-77.12674,POINT (-77.12674 -11.87769)
LIM-0219,Villamoto,L7,16,Sub,At Grade,-11.86659,-77.12835,0,0,0,0,-11.86659,-77.12835,POINT (-77.12835 -11.86659)
LIM-0220,Mi Peru,L7,17,Sub,At Grade,-11.85566,-77.13,0,0,0,0,-11.85566,-77.13,POINT (-77.13 -11.85566)
LIM-0221,Jose María Arguedas,L7,18,Sub,At Grade,-11.84765,-77.11964,0,0,0,0,-11.84765,-77.11964,POINT (-77.11964 -11.84765)
LIM-0222,Panamericana Norte,L7,19,Sub,At Grade,-11.83761,-77.111,0,0,0,0,-11.83761,-77.111,POINT (-77.111 -11.83761)
LIM-0223,Villa Los Reyes,L7,20,Sub,At Grade,-11.82911,-77.1191,0,0,0,0,-11.82911,-77.1191,POINT (-77.1191 -11.82911)
LIM-0224,Marko Jara Shenone,L7,21,Sub,At Grade,-11.81464,-77.12859,0,0,0,0,-11.81464,-77.12859,POINT (-77.12859 -11.81464)
LIM-0225,Señor de los Milagros,L7,22,Sub,At Grade,-11.79905,-77.14012,0,0,0,0,-11.79905,-77.14012,POINT (-77.14012 -11.79905)
LIM-0226,Santa Rosa,L7,23,Sub,At Grade,-11.78524,-77.15435,0,0,0,0,-11.78524,-77.15435,POINT (-77.15435 -11.78524)
LIM-0227,Ancón,L7,24,Sub,At Grade,-11.77603,-77.16374,0,0,0,0,-11.77603,-77.16374,POINT (-77.16374 -11.77603)
LIM-0228,Miguel Grau,L8,1,Sub,At Grade,-12.05866,-77.03526,0,0,0,0,-12.05866,-77.03526,POINT (-77.03526 -12.05866)
LIM-0229,Parque Universitario,L8,2,Sub,At Grade,-12.05469,-77.03038,0,0,0,0,-12.05469,-77.03038,POINT (-77.03038 -12.05469)
LIM-0230,Centro de Lima,L8,3,Sub,At Grade,-12.04799,-77.0269,0,0,0,0,-12.04799,-77.0269,POINT (-77.0269 -12.04799)
LIM-0231,Tacna,L8,4,Sub,At Grade,-12.0396,-77.0311,0,0,0,0,-12.0396,-77.0311,POINT (-77.0311 -12.0396)
LIM-0232,Alcázar,L8,5,Sub,At Grade,-12.0318,-77.02794,0,0,0,0,-12.0318,-77.02794,POINT (-77.02794 -12.0318)
LIM-0233,Santa Rosa,L8,6,Sub,At Grade,-12.02888,-77.0187,0,0,0,0,-12.02888,-77.0187,POINT (-77.0187 -12.02888)
LIM-0234,Caja de Agua,L8,7,Sub,At Grade,-12.02847,-77.01138,0,0,0,0,-12.02847,-77.01138,POINT (-77.01138 -12.02847)
LIM-0235,Piramide del Sol,L8,8,Sub,At Grade,-12.0257,-77.00181,0,0,0,0,-12.0257,-77.00181,POINT (-77.00181 -12.0257)
LIM-0236,Las Lomas,L8,9,Sub,At Grade,-12.02438,-76.99144,0,0,0,0,-12.02438,-76.99144,POINT (-76.99144 -12.02438)
LIM-0237,Fortaleza de Campoy,L8,10,Sub,At Grade,-12.02497,-76.98134,0,0,0,0,-12.02497,-76.98134,POINT (-76.98134 -12.02497)
LIM-0238,Atarjea,L8,11,Sub,At Grade,-12.02409,-76.96697,0,0,0,0,-12.02409,-76.96697,POINT (-76.96697 -12.02409)
LIM-0239,Alcázar,L9,1,Sub,At Grade,-12.03147,-77.02845,0,0,0,0,-12.03147,-77.02845,POINT (-77.02845 -12.03147)
LIM-0240,La Florida,L9,2,Sub,At Grade,-12.02368,-77.03716,0,0,0,0,-12.02368,-77.03716,POINT (-77.03716 -12.02368)
LIM-0241,UNI,L9,3,Sub,At Grade,-12.01593,-77.0518,0,0,0,0,-12.01593,-77.0518,POINT (-77.0518 -12.01593)
LIM-0242,Tomas Valle,L9,4,Sub,At Grade,-12.00879,-77.06255,0,0,0,0,-12.00879,-77.06255,POINT (-77.06255 -12.00879)
LIM-0243,Universitaria,L9,5,Sub,At Grade,-12.01265,-77.07932,0,0,0,0,-12.01265,-77.07932,POINT (-77.07932 -12.01265)
LIM-0244,Beta,L9,6,Sub,At Grade,-12.01096,-77.07051,0,0,0,0,-12.01096,-77.07051,POINT (-77.07051 -12.01096)
LIM-0245,Condor,L9,7,Sub,At Grade,-12.01335,-77.09502,0,0,0,0,-12.01335,-77.09502,POINT (-77.09502 -12.01335)
LIM-0246,Aeropuerto,L9,8,Sub,At Grade,-12.02158,-77.10507,0,0,0,0,-12.02158,-77.10507,POINT (-77.10507 -12.02158)
LIM-0247,Gambetta,L9,9,Sub,At Grade,-12.04265,-77.11604,0,0,0,0,-12.04265,-77.11604,POINT (-77.11604 -12.04265)
LIM-0248,Argentina,L9,10,Sub,At Grade,-12.04982,-77.11531,0,0,0,0,-12.04982,-77.11531,POINT (-77.11531 -12.04982)
LIM-0249,Oscar Benavides,L9,11,Sub,At Grade,-12.05755,-77.11471,0,0,0,0,-12.05755,-77.11471,POINT (-77.11471 -12.05755)
LIM-0250,La Perla,L9,12,Sub,At Grade,-12.06464,-77.11878,0,0,0,0,-12.06464,-77.11878,POINT (-77.11878 -12.06464)
LIM-0251,Haya de la Torre,L9,13,Sub,At Grade,-12.07017,-77.10947,0,0,0,0,-12.07017,-77.10947,POINT (-77.10947 -12.07017)
LIM-0252,La Marina,L9,14,Sub,At Grade,-12.07426,-77.09962,0,0,0,0,-12.07426,-77.09962,POINT (-77.09962 -12.07426)
